Stazione,Inquinante,Temperatura,U.misura,Equazione,a,b,c,d,e,f
AIRQ04,13,,,,10.93603,5.178284,-0.4062102,-3.03102,0,0
AIRQ05,13,,,,3.43844590560718,-0.108573954937707,0.362277610102057,0.710586645983194,0,0
AIRQ06,13,,,,-13.2110006705724,0.676016559440894,0.434636355720404,5.58391366334269,0,0
AIRQ07,13,,,,29.2677160642203,2.35072592121268,-0.187745585440025,-8.96587603161069,0,0
AIRQ08,13,,,,6.94871,1.894061,-0.06802066,-1.318582,0,0
AIRQ09,13,,,,24.2932959281949,2.06659022973138,-0.189090582749954,-8.42835310969345,0,0
AIRQ10,13,,,,20.9149926776785,2.67897427312421,-0.087437002189436,-6.20471724717009,0,0
AIRQ11,13,,,,21.3735965624245,3.13347614593228,-0.163994207591047,-6.55253847606328,0,0
AIRQ12,13,,,,19.5163526569334,1.94175837055613,-0.0910935928001234,-5.93342503720001,0,0
AIRQ13,13,,,,-7.508856,0.4812582,0.8378002,0.496717,0,0
AIRQ01,13,35,,,15.1355,2.097536,-0.2710341,-2.065714,0,0
AIRQ02,13,35,,,17.7027961528583,0.962075809252938,0.126768088408871,-6.63017443203013,0,0
AIRQ03,13,35,,,14.1904979868464,1.98476676172679,-0.0672534303554302,-3.78121656196589,0,0
AIRQ04,13,35,,,10.93603,5.178284,-0.4062102,-3.03102,0,0
AIRQ05,13,35,,,3.43844590560718,-0.108573954937707,0.362277610102057,0.710586645983194,0,0
AIRQ06,13,35,,,-13.2110006705724,0.676016559440894,0.434636355720404,5.58391366334269,0,0
AIRQ07,13,35,,,29.2677160642203,2.35072592121268,-0.187745585440025,-8.96587603161069,0,0
AIRQ08,13,35,,,6.94871,1.894061,-0.06802066,-1.318582,0,0
AIRQ09,13,35,,,24.2932959281949,2.06659022973138,-0.189090582749954,-8.42835310969345,0,0
AIRQ10,13,35,,,20.9149926776785,2.67897427312421,-0.087437002189436,-6.20471724717009,0,0
AIRQ11,13,35,,,21.3735965624245,3.13347614593228,-0.163994207591047,-6.55253847606328,0,0
AIRQ12,13,35,,,19.5163526569334,1.94175837055613,-0.0910935928001234,-5.93342503720001,0,0
AIRQ13,13,35,,,4.854908,3.250639,-0.1141403,0.4849442,0,0
AIRQ01,8,,,,-132.4071,4.718445,21.45213,-18.28586,0.02131464,0
AIRQ02,8,,,,-86.2680239680668,45.403427688745,-6.75736284753594,1.42603252064858,1.66081682168487,0
AIRQ03,8,,,,658.794920338075,-10.7502357159561,-38.4588532443003,-2.61442385791517,0.709617415061571,0
AIRQ04,8,,,,1222.252,6.308152,-92.58887,-4.948587,-0.2845658,0
AIRQ05,8,,,,991.514425927653,10.1076527492095,-74.6769049285836,0.0901725852456947,1.33878997508852,0
AIRQ06,8,,,,304.375202411514,-16.3529975226148,-6.93521373538823,-5.46497008262733,0.695417635451675,0
AIRQ07,8,,,,-367.270642912365,-20.4504069929457,39.3162364561607,4.60300273113866,1.33137776157308,0
AIRQ08,8,,,,-274.3439,8.204383,22.31295,-9.274287,0.50783396,0
AIRQ09,8,,,,-21.7727986000677,-12.4041971812856,11.0810179098577,0.305052617211372,0.867577456339251,0
AIRQ10,8,,,,-30.7211078905987,-8.71890378092238,7.75970520276499,-1.4341978231346,1.14816304088386,0
AIRQ11,8,,,,-75.9229091130992,-6.88090001357233,9.76824945837638,-0.70517938239702,1.37026771910783,0
AIRQ12,8,,,,-217.544989570683,-9.96817513963005,21.2670206368742,0.759050916797139,0.932330724056945,0
AIRQ13,8,,,,63.71734,-5.656984,1.84674,-2.914594,0.3744853,0
AIRQ01,8,35,,,-132.4071,4.718445,21.45213,-18.28586,0.02131464,0
AIRQ02,8,35,,,-86.2680239680668,45.403427688745,-6.75736284753594,1.42603252064858,1.66081682168487,0
AIRQ03,8,35,,,658.794920338075,-10.7502357159561,-38.4588532443003,-2.61442385791517,0.709617415061571,0
AIRQ04,8,35,,,1222.252,6.308152,-92.58887,-4.948587,-0.2845658,0
AIRQ05,8,35,,,991.514425927653,10.1076527492095,-74.6769049285836,0.0901725852456947,1.33878997508852,0
AIRQ06,8,35,,,304.375202411514,-16.3529975226148,-6.93521373538823,-5.46497008262733,0.695417635451675,0
AIRQ07,8,35,,,-367.270642912365,-20.4504069929457,39.3162364561607,4.60300273113866,1.33137776157308,0
AIRQ08,8,35,,,-274.3439,8.204383,22.31295,-9.274287,0.50783396,0
AIRQ09,8,35,,,-21.7727986000677,-12.4041971812856,11.0810179098577,0.305052617211372,0.867577456339251,0
AIRQ10,8,35,,,-30.7211078905987,-8.71890378092238,7.75970520276499,-1.4341978231346,1.14816304088386,0
AIRQ11,8,35,,,-75.9229091130992,-6.88090001357233,9.76824945837638,-0.70517938239702,1.37026771910783,0
AIRQ12,8,35,,,-217.544989570683,-9.96817513963005,21.2670206368742,0.759050916797139,0.932330724056945,0
AIRQ13,8,35,,,7.508891,0.0074426,-3.5103807,-2.4582184,0.3744853,0
AIRQ01,10,,,,6.1422,0.5997,-2.4025,-1.4863,,
AIRQ02,10,,,,4.4211783,0.0052313,-2.0566211,-1.5817819,,
AIRQ03,10,,,,6.4716951,0.0058336,-3.2274973,-2.173256,,
AIRQ04,10,,,,6.51829,0.4106,-3.39711,-1.39011,,
AIRQ05,10,,,,21.37675,1.35282,-9.60583,-4.54307,,
AIRQ06,10,,,,2.3872437,0.0042077,-1.214126,-0.7798805,,
AIRQ07,10,,,,16.1938859,0.0108247,-8.4339763,-4.3995792,,
AIRQ08,10,,,,4.7215715,0.0047059,-2.2147771,-1.777335,,
AIRQ09,10,,,,18.1025225,0.0115228,-8.9539283,-5.6306321,,
AIRQ10,10,,,,7.508891,0.0074426,-3.5103807,-2.4582184,,
AIRQ11,10,,,,22.46,0.01146,-11.4,-6.997,,
AIRQ12,10,,,,17.1729697,0.0109967,-8.8624088,-4.9683037,,
AIRQ13,10,,,,17.1687625,0.01113,-8.8618462,-5.2085225,,
AIRQ14,10,,,,16.9537927,0.0120989,-8.9675285,-4.9930893,,
AIRQ15,10,,,,5.504309,0.00518,-2.612964,-1.887712,,
AIRQ16,10,,,,5.8320575,0.0053755,-2.8649395,-2.0035142,,
AIRQ17,10,,,,6.4305851,0.005701,-3.2044501,-2.2733629,,
AIRQ18,10,,,,15.9318025,0.0105517,-7.971837,-4.9547146,,
AIRQ20,10,,,,16.9537927,0.0120989,-8.9675285,-4.9930893,,
AIRQ21,10,,,,7.8125421,0.006549,-3.7482496,-2.543932,,
AIRQ22,10,,,,16.9750069,0.0102677,-9.422702,-4.4882775,,
AIRQ23,10,,,,19.25,0.01216,-10.05,-5.055,,
AIRQ01,10,35,,,6.1422,0.5997,-2.4025,-1.4863,,
AIRQ02,10,35,,,4.4211783,0.0052313,-2.0566211,-1.5817819,,
AIRQ03,10,35,,,6.4716951,0.0058336,-3.2274973,-2.173256,,
AIRQ04,10,35,,,6.51829,0.4106,-3.39711,-1.39011,,
AIRQ05,10,35,,,21.37675,1.35282,-9.60583,-4.54307,,
AIRQ06,10,35,,,2.3872437,0.0042077,-1.214126,-0.7798805,,
AIRQ07,10,35,,,16.1938859,0.0108247,-8.4339763,-4.3995792,,
AIRQ08,10,35,,,4.7215715,0.0047059,-2.2147771,-1.777335,,
AIRQ09,10,35,,,18.1025225,0.0115228,-8.9539283,-5.6306321,,
AIRQ10,10,35,,,7.508891,0.0074426,-3.5103807,-2.4582184,,
AIRQ11,10,35,,,22.46,0.01146,-11.4,-6.997,,
AIRQ12,10,35,,,17.1729697,0.0109967,-8.8624088,-4.9683037,,
AIRQ13,10,35,,,17.1687625,0.01113,-8.8618462,-5.2085225,,
AIRQ14,10,35,,,16.9537927,0.0120989,-8.9675285,-4.9930893,,
AIRQ15,10,35,,,5.504309,0.00518,-2.612964,-1.887712,,
AIRQ16,10,35,,,5.8320575,0.0053755,-2.8649395,-2.0035142,,
AIRQ17,10,35,,,6.4305851,0.005701,-3.2044501,-2.2733629,,
AIRQ18,10,35,,,15.9318025,0.0105517,-7.971837,-4.9547146,,
AIRQ20,10,35,,,16.9537927,0.0120989,-8.9675285,-4.9930893,,
AIRQ21,10,35,,,7.8125421,0.006549,-3.7482496,-2.543932,,
AIRQ22,10,35,,,16.9750069,0.0102677,-9.422702,-4.4882775,,
AIRQ23,10,35,,,19.25,0.01216,-10.05,-5.055,,
